单词, 频率, 中文解释
chocolate, 6, 巧克力
coe, 4, 美国石油公司
masses, 2, 质量
used, 2, 习惯于
hydraulic, 2, 水力的
press, 2, 按
cocoa, 2, 热可可
no, 1, 不
secret, 1, 秘密
industrial, 1, 工业的
revolution, 1, 无法获取中文解释
allowed, 1, 允许的
become, 1, 成为
available, 1, 可获得的
dawn, 1, 黎明
period, 1, 时期
basic, 1, 基本的
technology, 1, 技术
create, 1, 创造
barely, 1, 仅仅
changed, 1, 已更改
aztecs, 1, 阿兹特克人
even, 1, 即使
factories, 1, 工厂
produced, 1, 生产的
so, 1, 所以
through, 1, 通过
laborintensive, 1, 苦口婆心的
process, 1, 过程
performed, 1, 已执行
hand, 1, 手
small, 1, 小的
quantities, 1, 数量
226, 1, 226
result, 1, 后果
its, 1, 它的
price, 1, 价格
prohibitive, 1, 禁止的
remained, 1, 剩余
drink, 1, 喝
only, 1, 只有
consumed, 1, 已消耗
wealthy, 1, 富有的
aristocratic, 1, 贵族的
europeans, 1, 欧洲人
17th, 1, 第十七
18th, 1, 第十八
century, 1, 100年
note, 1, 笔记
1828, 1, 1828
marks, 1, 标记
beginning, 1, 开始
modern, 1, 现代的
era, 1, 时代
making, 1, 制作
production, 1, 生产
crediting, 1, 贷记
coenraad, 1, 科恩拉德
johannes, 1, 约翰内斯
van, 1, 厢式货车
houtens, 1, 侯腾斯
allowing, 1, 允许
widespread, 1, 普遍的
manufacture, 1, 制造
affordable, 1, 买得起的
possible, 1, 可能的
234, 1, 234
manufactured, 1, 制造的
cheap, 1, 花钱少的
powdered, 1, 粉末状的
squeezing, 1, 挤压
out, 1, 无法获取中文解释
excess, 1, 过量的
butter, 1, 黄油
treating, 1, 处理
alkaline, 1, 碱性的
salts, 1, 盐类
